facility,month_num,month,total_vehicles_2019,total_vehicles_2025
Bayonne,1,January,202396.0,246821.0
Bayonne,2,February,191751.0,232512.0
Bayonne,3,March,248777.0,271929.0
Bayonne,4,April,219997.0,275569.0
Bayonne,5,May,295167.0,339186.0
Bayonne,6,June,302228.0,337686.0
Bayonne,7,July,308588.0,321364.0
Bayonne,8,August,325927.0,350368.0
Bayonne,9,September,315625.0,323485.0
Bayonne,10,October,317235.0,359053.0
Bayonne,11,November,308973.0,328076.0
Bayonne,12,December,318069.0,304433.0
GWB,1,January,,3618422.0
GWB,2,February,3677566.0,3523712.0
GWB,3,March,4241762.0,4102106.0
GWB,4,April,4278590.0,4269526.0
GWB,5,May,4511523.0,4527749.0
GWB,6,June,4504891.0,4461208.0
GWB,7,July,4655381.0,4647227.0
GWB,8,August,4712338.0,4661677.0
GWB,9,September,4333042.0,4290392.0
GWB,10,October,4439509.0,4406038.0
GWB,11,November,553488.0,4209462.0
GWB,12,December,92444.0,4320140.0
Goethals,1,January,1326867.0,1247477.0
Goethals,2,February,1244714.0,1199376.0
Goethals,3,March,1431155.0,1367425.0
Goethals,4,April,1492654.0,1271198.0
Goethals,5,May,1550624.0,1483523.0
Goethals,6,June,1552833.0,1502955.0
Goethals,7,July,1585402.0,1575438.0
Goethals,8,August,1606482.0,1595984.0
Goethals,9,September,1469204.0,1502176.0
Goethals,10,October,1493003.0,1521204.0
Goethals,11,November,1425855.0,1459388.0
Goethals,12,December,1486314.0,1487280.0
Holland,1,January,1209966.0,1005071.0
Holland,2,February,1128086.0,970584.0
Holland,3,March,1266571.0,1127393.0
Holland,4,April,1300208.0,1057406.0
Holland,5,May,1362005.0,1167837.0
Holland,6,June,1330235.0,1174603.0
Holland,7,July,1330571.0,1210379.0
Holland,8,August,1357102.0,1237902.0
Holland,9,September,1313449.0,1200086.0
Holland,10,October,1367121.0,1285426.0
Holland,11,November,1312946.0,1287911.0
Holland,12,December,1356034.0,1291170.0
Lincoln,1,January,1438391.0,1305454.0
Lincoln,2,February,1357207.0,1301188.0
Lincoln,3,March,1585107.0,1533851.0
Lincoln,4,April,1567240.0,1452331.0
Lincoln,5,May,1628922.0,1631805.0
Lincoln,6,June,1584281.0,1644275.0
Lincoln,7,July,1536618.0,1704314.0
Lincoln,8,August,1609042.0,1727224.0
Lincoln,9,September,1576712.0,1679436.0
Lincoln,10,October,1588721.0,1752666.0
Lincoln,11,November,1522676.0,1621915.0
Lincoln,12,December,1539284.0,1613435.0
Outerbridge,1,January,1143831.0,979208.0
Outerbridge,2,February,1069615.0,933392.0
Outerbridge,3,March,1229229.0,1022218.0
Outerbridge,4,April,1240715.0,1074167.0
Outerbridge,5,May,1304333.0,1220106.0
Outerbridge,6,June,1309340.0,1253003.0
Outerbridge,7,July,1336073.0,1298601.0
Outerbridge,8,August,1365548.0,1313404.0
Outerbridge,9,September,1281844.0,1220679.0
Outerbridge,10,October,1279173.0,1220500.0
Outerbridge,11,November,1241742.0,1152067.0
Outerbridge,12,December,1277013.0,1154140.0
